,"BayesianSSA (9, 1)","BayesianSSA (6, 2)","BayesianSSA (3, 1)","BayesianSSA (2, 1)",Base method,Random
40,11.959294599520467,14.056721128635342,13.204515525560502,13.843567813517403,31.486026517824627,27.725887222397784
41,12.150572193460198,14.330451958293967,13.476120002337654,14.136544982626337,31.985005919306936,28.419034402957728
42,12.193133453420142,14.426159474972005,13.534849453797792,14.204146856622463,33.005269241564065,29.11218158351767
43,12.23395647640499,14.517434092036382,13.59022776112115,14.267502359207299,34.025532563821194,29.805328764077615
44,12.278409134501416,14.617690185716128,13.651458333904687,14.334765325719722,34.74934515869202,30.49847594463756
45,12.317630505871247,14.704935546727729,13.703855627139744,14.394351748159396,35.76960848094915,31.191623125197502
46,12.360190665392151,14.80037515442389,13.761512174098415,14.457347236546932,36.49342107581998,31.884770305757446
47,12.54263453828838,15.059470728225662,14.015426867877649,14.729949933508369,36.99240047730229,32.57791748631739
48,12.58345687350364,15.15054114691843,14.069909509471122,14.789204733142554,37.71621307217312,33.271064666877336
49,12.757880162285325,15.396579284971887,14.308383475381868,15.044252896025688,38.21519247365543,33.964211847437284
50,12.795620920345822,15.480142573999824,14.35809730800777,15.10039602809384,39.23545579591256,34.65735902799723
51,12.962716312755356,15.71443224538612,14.582933239094228,15.339998963250123,39.734435197394866,35.35050620855718
52,13.001937243956798,15.801519837018935,14.634575952406296,15.395919407568346,40.458247792265695,36.043653389117125
53,13.038305174803929,15.881706034233046,14.681883441351273,15.44905225329774,41.478511114522824,36.73680056967707
54,13.073396689145563,15.958781881827736,14.727015793903812,15.49951767843754,42.498774436779954,37.42994775023702
55,13.233764483859543,16.182431394276325,14.93971415337883,15.725431490268171,42.99775383826226,38.12309493079697
56,13.267666169682116,16.256631939705446,14.982863269258841,15.773461475561962,44.01801716051939,38.816242111356914
57,13.421832565222193,16.47059158054694,15.184690912794144,15.987201729947483,44.5169965620017,39.50938929191686
58,13.454622481942765,16.542125878622656,15.226027035735678,16.033021640536365,45.53725988425883,40.20253647247681
59,13.486371246894345,16.61118063593231,15.265700400655309,16.076841606475327,46.55752320651596,40.895683653036755
60,13.517142953456444,16.677923229180713,15.303841322221139,16.118828413985607,47.57778652877309,41.5888308335967
61,13.66557301675308,16.883015463442327,15.49586744559339,16.321620504173858,48.0767659302554,42.28197801415665
62,13.703313487306685,16.966456659917174,15.544952638803919,16.374520749372287,48.80057852512623,42.9751251947166
63,13.733166485288088,17.031037814740614,15.581675117685839,16.414801765146404,49.820841847383356,43.668272375276544
64,13.76953422450614,17.11112769382745,15.62844788778121,16.465034338392492,50.544654442254185,44.36141955583649
65,13.804625608813714,17.188126473696382,15.673117989718438,16.51286118599522,51.26846703712501,45.05456673639644
66,13.947733029009797,17.38506987734269,15.856264640101001,16.7058069122563,51.76744643860732,45.747713916956386
67,13.981634625165732,17.45920833284067,15.899014173586087,16.751448190926197,52.49125903347815,46.44086109751633
68,14.119789348040877,17.648634916774892,16.074075343216624,16.935474252317608,52.99023843496046,47.13400827807628
